id,url,header,price,refresh_date,created_timestamp
869658603,https://www.otomoto.pl/osobowe/oferta/fiat-tipo-fiat-tipo-ID6FU2kA.html,Fiat Tipo Fiat Tipo,35 000 zł,"Wrocław, Krzyki - Dzisiaj o 16:22",2023-11-07 21:13:22
850375743,https://www.otomoto.pl/osobowe/oferta/citroen-c3-citroen-c3-2014-przebieg-11700tys-doinwestowany-ID6FGgS4.html,Citroën C3 citroen c3 2014 przebieg 11700tys doinwestowany,22 900 złdo negocjacji,Goleniów - 06 listopada 2023,2023-11-07 21:13:22
875129827,https://www.olx.pl/d/oferta/astra-j-sportrurer-CID5-IDXdXfd.html,Astra j sportrurer,30 000 złdo negocjacji,"Warszawa, Targówek - 06 listopada 2023",2023-11-07 21:13:22
871192756,https://www.otomoto.pl/osobowe/oferta/opel-astra-iv-j-enjoy-1-4-turbo-140-km-lpg-salon-polska-drugi-wlasciciel-ID6FW9jz.html,"Opel Astra IV J Enjoy 1.4 Turbo 140 KM LPG, Salon Polska, Drugi Właściciel",28 999 złdo negocjacji,"Warszawa, Ursynów - 30 października 2023",2023-11-07 21:13:22
870634140,https://www.otomoto.pl/osobowe/oferta/opel-astra-opel-astra-j-1-4-fabryczny-lpg-pierwszy-wlasciciel-faktura-vat-23-ID6FUE2L.html,"Opel Astra OPEL ASTRA J 1,4 Fabryczny LPG Pierwszy Właściciel Faktura VAT 23%",23 001 złdo negocjacji,Stara Gadka - Dzisiaj o 16:21,2023-11-07 21:13:22
871128203,https://www.otomoto.pl/osobowe/oferta/dacia-logan-dacia-logan-mcv-2014-90-tce-krajowa-1-wlasciciel-niski-przbieg-ID6FW6HU.html,Dacia Logan Dacia Logan MCV 2014 90 TCE Krajowa 1 właściciel Niski przbieg,23 900 złdo negocjacji,"Gdynia, Leszczynki - Dzisiaj o 16:17",2023-11-07 21:13:22
870632929,https://www.otomoto.pl/osobowe/oferta/peugeot-508-1-6-t-156kmserwis-asopanoramaparktronikisuper-stan-ID6FUDXC.html,Peugeot 508 1.6 T 156km*SERWIS ASO*PANORAMA*parktroniki*Super stan*,33 999 złdo negocjacji,Ostrowiec Świętokrzyski - Dzisiaj o 16:17,2023-11-07 21:13:22
869633144,https://www.olx.pl/d/oferta/chevrolet-aveo-sedan-1-4-benzyna-gaz-CID5-IDVQTj2.html,CHEVROLET AVEO sedan 1.4 benzyna gaz,19 900 zł,Świebodzice - Dzisiaj o 16:16,2023-11-07 21:13:22
872154576,https://www.olx.pl/d/oferta/astra-j-lift-1-6benzynasalon-polskajak-nowa-zobacz100-oryginal-CID5-IDX1tfi.html,Astra J Lift 1.6benzyna*Salon Polska*Jak nowa zobacz*100%Oryginał!!,29 500 zł,Giżycko - Dzisiaj o 16:16,2023-11-07 21:13:22
873155558,https://www.otomoto.pl/osobowe/oferta/ford-mondeo-1-6-ID6FVGMz.html,Ford Mondeo 1.6,29 900 złdo negocjacji,Radom - Dzisiaj o 16:10,2023-11-07 21:13:22
849374777,https://www.olx.pl/d/oferta/auto-kia-ceed-2014-1-6-CID5-IDWtTbb.html,Auto KIA CEE'D 2014 1.6,23 600 złdo negocjacji,"Poznań, Grunwald - Dzisiaj o 16:01",2023-11-07 21:13:22
873152648,https://www.otomoto.pl/osobowe/oferta/opel-corsa-opel-corsa-d-5-cio-drzwiowy-2013-r-pierwszy-wlasciciel-w-polsce-ID6FVGHo.html,"Opel Corsa Opel Corsa D, 5-cio drzwiowy, 2013 r. pierwszy właściciel w Polsce",24 000 złdo negocjacji,Przeźmierowo - Dzisiaj o 15:57,2023-11-07 21:13:22
857693589,https://www.otomoto.pl/osobowe/oferta/toyota-auris-toyota-auris-1-6-lpg-2016-lift-salon-polska-fvat-23-ID6FLyo3.html,Toyota Auris Toyota Auris 1.6 LPG 2016 Lift Salon Polska FVat 23%,32 500 zł,"Warszawa, Targówek - Dzisiaj o 15:44",2023-11-07 21:13:22
872695871,https://www.olx.pl/d/oferta/piekne-punto-evo-2016-lpg-CID5-IDX3K3R.html,Piękne Punto Evo 2016 LPG,21 500 zł,Tychy - Odświeżono Dzisiaj o 15:42,2023-11-07 21:13:22
845529630,https://www.olx.pl/d/oferta/dacia-logan-1-2-benzyna-lpg-2015-r-salon-pl-CID5-IDWdKSG.html,Dacia Logan 1.2 Benzyna + LPG 2015 r Salon PL,21 900 złdo negocjacji,"Wrocław, Krzyki - Odświeżono dnia 06 listopada 2023",2023-11-07 21:13:22
843032350,https://www.otomoto.pl/osobowe/oferta/skoda-superb-salonpl-active-klimatyzacja-tempomat-skorzana-kierownica-papis-ID6FB0hX.html,Skoda Superb SalonPL Active+ Klimatyzacja Tempomat Skórzana Kierownica PAPIS,34 500 złdo negocjacji,Poznań - Odświeżono dnia 06 listopada 2023,2023-11-07 21:13:22
874725499,https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0i-125ps-navi-2xpdc-klima-alu16-elektryka-serwis-aso-ID6FXJqS.html,Ford Focus FORD FOCUS 1.0i 125PS Navi 2xPDC Klima Alu16 Elektryka Serwis ASO,27 900 złdo negocjacji,Szczecin - 04 listopada 2023,2023-11-07 21:13:22
874035134,https://www.otomoto.pl/osobowe/oferta/seat-leon-1-2-benzyna-wlasciciel-ID6FXbNv.html,Seat Leon 1.2 benzyna #właściciel#,33 900 zł,Grójec - Dzisiaj o 15:42,2023-11-07 21:13:22
875559768,https://www.olx.pl/d/oferta/opel-astra-lift-1-4b-110tys-CID5-IDXfL5K.html,Opel Astra Lift 1.4B 110tyś,19 500 złdo negocjacji,Boruja Nowa - Dzisiaj o 15:40,2023-11-07 21:13:22
866566668,https://www.otomoto.pl/osobowe/oferta/ford-fiesta-titanium100-tys-km100-bezwypadkowyoryg-lak-i-przebiegpolecam-ID6FRvOp.html,Ford Fiesta TITANIUM*100 TYS.KM*100% Bezwypadkowy*Oryg.Lak. i Przebieg*POLECAM!,28 500 złdo negocjacji,Jasienica Rosielna - Dzisiaj o 15:37,2023-11-07 21:13:22
871247585,https://www.olx.pl/d/oferta/kia-ceed-1-4-benzyna-z-gazem-oferta-prywatna-CID5-IDVXFip.html,Kia cee'd 1.4 benzyna z gazem oferta prywatna,34 000 złdo negocjacji,Grądy Zalewne - Dzisiaj o 15:28,2023-11-07 21:13:22
870620215,https://www.otomoto.pl/osobowe/oferta/seat-ibiza-ID6FUDDg.html,Seat Ibiza,29 800 złdo negocjacji,Nysa - Dzisiaj o 15:26,2023-11-07 21:13:22
871100401,https://www.otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-active-1-wlasciciel-navi-xenon-bi-xenon-ID6FW6kb.html,"Ford Focus 1.0 EcoBoost Active , 1. Właściciel, Navi, Xenon, Bi-Xenon,",33 000 złdo negocjacji,"Łódź, Polesie - Dzisiaj o 15:24",2023-11-07 21:13:22
870619921,https://www.otomoto.pl/osobowe/oferta/renault-megane-1-2-tce-benzyna-z-niemiec-stan-bdb-ID6FUDB9.html,Renault Megane 1.2 TCe Benzyna z Niemiec stan BDB,26 900 zł,Ostrów Mazowiecka - Dzisiaj o 15:24,2023-11-07 21:13:22
874029284,https://www.otomoto.pl/osobowe/oferta/skoda-rapid-skoda-rapid-1-0-tsi-ambition-ID6FXcgK.html,Skoda RAPID Skoda Rapid 1.0 TSI Ambition,34 800 zł,Wieliczka - Dzisiaj o 15:17,2023-11-07 21:13:22
870602118,https://www.otomoto.pl/osobowe/oferta/ford-focus-super-stan-grzane-fotele-przednia-szyba-klimatyzacja-ID6FUDxT.html,"Ford Focus Super Stan,Grzane Fotele,Przednia Szyba,Klimatyzacja",27 900 złdo negocjacji,Proszowice - Dzisiaj o 15:16,2023-11-07 21:13:22
865876527,https://www.otomoto.pl/osobowe/oferta/renault-megane-niski-przebieg-ID6FR8dx.html,Renault Megane niski przebieg,32 700 zł,Nidzica - Odświeżono Dzisiaj o 15:14,2023-11-07 21:13:22
865427501,https://www.otomoto.pl/osobowe/oferta/skoda-octavia-octavia-combi-elegance-turbo-benzyna-ID6FOsUD.html,Skoda Octavia Octavia Combi Elegance Turbo Benzyna,31 000 zł,"Wrocław, Stare Miasto - 02 listopada 2023",2023-11-07 21:15:13
857514697,https://www.otomoto.pl/osobowe/oferta/volkswagen-jetta-1-4-tsi-ID6FLHZA.html,Volkswagen Jetta 1.4 TSI,29 000 zł,Cieplewo - 05 listopada 2023,2023-11-07 21:15:13
